96
(1.000000, 0.500000, 0.250000) (0.750000, 0.250000, 0.250000) (0.000000, 0.000000) 
(0.750000, 0.500000, 0.578125) (0.750000, 0.500000, 0.578125) (0.000000, 0.000000) 
(1.000000, 0.500000, 0.250000) (0.750000, 0.500000, 0.250000) (0.000000, 0.000000) 
(0.750000, 0.750000, 0.890625) (0.750000, 0.500000, 0.890625) (0.000000, 0.000000) 
(0.750000, 0.750000, 0.890625) (0.750000, 0.500000, 0.890625) (0.000000, 0.000000) 
(1.000000, 0.500000, 0.250000) (0.750000, 0.500000, 0.250000) (0.000000, 0.000000) 
(1.000000, 0.750000, 0.562500) (0.750000, 0.500000, 0.562500) (0.000000, 0.000000) 
(0.750000, 0.750000, 0.890625) (0.750000, 0.750000, 0.890625) (0.000000, 0.000000) 
(1.000000, 0.750000, 0.562500) (0.750000, 0.750000, 0.562500) (0.000000, 0.000000) 
(0.750000, 1.000000, 1.328125) (0.750000, 0.750000, 1.328125) (0.000000, 0.000000) 
(0.750000, 1.000000, 1.328125) (0.750000, 0.750000, 1.328125) (0.000000, 0.000000) 
(1.000000, 0.750000, 0.562500) (0.750000, 0.750000, 0.562500) (0.000000, 0.000000) 
(1.000000, 1.000000, 1.000000) (0.750000, 0.750000, 1.000000) (0.000000, 0.000000) 
